level_0,level_1,date,symbol,close,dominant_id,exchange,high,low,open,trading_code,trading_date,underlying_symbol,volume
LC2601,0,2025-10-21 15:00:00,LC2601,75980.0,LC2601,GFEX,76000.0,75940.0,76000.0,lc2601,20251021,LC,2111.0
LC2601,1,2025-10-21 14:59:00,LC2601,75980.0,LC2601,GFEX,76040.0,75980.0,76020.0,lc2601,20251021,LC,1311.0
LC2601,2,2025-10-21 14:58:00,LC2601,76000.0,LC2601,GFEX,76020.0,75980.0,75980.0,lc2601,20251021,LC,621.0
LC2601,3,2025-10-21 14:57:00,LC2601,76000.0,LC2601,GFEX,76000.0,75940.0,75960.0,lc2601,20251021,LC,530.0
LC2601,4,2025-10-21 14:56:00,LC2601,75940.0,LC2601,GFEX,75960.0,75920.0,75920.0,lc2601,20251021,LC,728.0
LC2601,5,2025-10-21 14:55:00,LC2601,75940.0,LC2601,GFEX,75980.0,75920.0,75960.0,lc2601,20251021,LC,975.0
LC2601,6,2025-10-21 14:54:00,LC2601,75940.0,LC2601,GFEX,76000.0,75900.0,76000.0,lc2601,20251021,LC,1452.0
LC2601,7,2025-10-21 14:53:00,LC2601,76000.0,LC2601,GFEX,76120.0,75940.0,76100.0,lc2601,20251021,LC,1613.0
LC2601,8,2025-10-21 14:52:00,LC2601,76100.0,LC2601,GFEX,76120.0,76080.0,76120.0,lc2601,20251021,LC,469.0
LC2601,9,2025-10-21 14:51:00,LC2601,76100.0,LC2601,GFEX,76180.0,76000.0,76020.0,lc2601,20251021,LC,1937.0
LC2601,10,2025-10-21 14:50:00,LC2601,76000.0,LC2601,GFEX,76020.0,76000.0,76000.0,lc2601,20251021,LC,166.0
LC2601,11,2025-10-21 14:49:00,LC2601,76000.0,LC2601,GFEX,76020.0,76000.0,76000.0,lc2601,20251021,LC,134.0
LC2601,12,2025-10-21 14:48:00,LC2601,76000.0,LC2601,GFEX,76020.0,76000.0,76020.0,lc2601,20251021,LC,235.0
LC2601,13,2025-10-21 14:47:00,LC2601,76020.0,LC2601,GFEX,76040.0,76000.0,76020.0,lc2601,20251021,LC,398.0
LC2601,14,2025-10-21 14:46:00,LC2601,76000.0,LC2601,GFEX,76020.0,75960.0,75980.0,lc2601,20251021,LC,351.0
LC2601,15,2025-10-21 14:45:00,LC2601,76000.0,LC2601,GFEX,76020.0,75980.0,76000.0,lc2601,20251021,LC,322.0
LC2601,16,2025-10-21 14:44:00,LC2601,76000.0,LC2601,GFEX,76020.0,75980.0,76020.0,lc2601,20251021,LC,451.0
LC2601,17,2025-10-21 14:43:00,LC2601,76020.0,LC2601,GFEX,76080.0,76000.0,76080.0,lc2601,20251021,LC,832.0
LC2601,18,2025-10-21 14:42:00,LC2601,76060.0,LC2601,GFEX,76080.0,75980.0,76000.0,lc2601,20251021,LC,906.0
LC2601,19,2025-10-21 14:41:00,LC2601,75980.0,LC2601,GFEX,76020.0,75960.0,75980.0,lc2601,20251021,LC,489.0
LC2601,20,2025-10-21 14:40:00,LC2601,75960.0,LC2601,GFEX,76040.0,75960.0,76000.0,lc2601,20251021,LC,743.0
LC2601,21,2025-10-21 14:39:00,LC2601,76000.0,LC2601,GFEX,76100.0,75980.0,76080.0,lc2601,20251021,LC,1263.0
LC2601,22,2025-10-21 14:38:00,LC2601,76080.0,LC2601,GFEX,76080.0,75980.0,75980.0,lc2601,20251021,LC,1661.0
LC2601,23,2025-10-21 14:37:00,LC2601,75980.0,LC2601,GFEX,76000.0,75940.0,75960.0,lc2601,20251021,LC,820.0
LC2601,24,2025-10-21 14:36:00,LC2601,75980.0,LC2601,GFEX,75980.0,75820.0,75860.0,lc2601,20251021,LC,973.0
LC2601,25,2025-10-21 14:35:00,LC2601,75840.0,LC2601,GFEX,75880.0,75820.0,75860.0,lc2601,20251021,LC,242.0
LC2601,26,2025-10-21 14:34:00,LC2601,75840.0,LC2601,GFEX,75900.0,75840.0,75880.0,lc2601,20251021,LC,613.0
LC2601,27,2025-10-21 14:33:00,LC2601,75860.0,LC2601,GFEX,75900.0,75860.0,75900.0,lc2601,20251021,LC,180.0
LC2601,28,2025-10-21 14:32:00,LC2601,75900.0,LC2601,GFEX,75900.0,75840.0,75840.0,lc2601,20251021,LC,459.0
LC2601,29,2025-10-21 14:31:00,LC2601,75840.0,LC2601,GFEX,75880.0,75820.0,75840.0,lc2601,20251021,LC,317.0
LC2601,30,2025-10-21 14:30:00,LC2601,75860.0,LC2601,GFEX,75860.0,75840.0,75860.0,lc2601,20251021,LC,154.0
LC2601,31,2025-10-21 14:29:00,LC2601,75840.0,LC2601,GFEX,75880.0,75820.0,75840.0,lc2601,20251021,LC,443.0
LC2601,32,2025-10-21 14:28:00,LC2601,75840.0,LC2601,GFEX,75900.0,75820.0,75880.0,lc2601,20251021,LC,807.0
LC2601,33,2025-10-21 14:27:00,LC2601,75880.0,LC2601,GFEX,75920.0,75880.0,75920.0,lc2601,20251021,LC,228.0
LC2601,34,2025-10-21 14:26:00,LC2601,75940.0,LC2601,GFEX,75940.0,75880.0,75920.0,lc2601,20251021,LC,577.0
LC2601,35,2025-10-21 14:25:00,LC2601,75940.0,LC2601,GFEX,75960.0,75900.0,75940.0,lc2601,20251021,LC,350.0
LC2601,36,2025-10-21 14:24:00,LC2601,75920.0,LC2601,GFEX,75960.0,75880.0,75900.0,lc2601,20251021,LC,656.0
LC2601,37,2025-10-21 14:23:00,LC2601,75900.0,LC2601,GFEX,75900.0,75880.0,75880.0,lc2601,20251021,LC,120.0
LC2601,38,2025-10-21 14:22:00,LC2601,75900.0,LC2601,GFEX,75900.0,75860.0,75880.0,lc2601,20251021,LC,414.0
LC2601,39,2025-10-21 14:21:00,LC2601,75880.0,LC2601,GFEX,75900.0,75840.0,75900.0,lc2601,20251021,LC,565.0
LC2601,40,2025-10-21 14:20:00,LC2601,75880.0,LC2601,GFEX,75920.0,75860.0,75880.0,lc2601,20251021,LC,992.0
LC2601,41,2025-10-21 14:19:00,LC2601,75880.0,LC2601,GFEX,75940.0,75800.0,75940.0,lc2601,20251021,LC,1554.0
LC2601,42,2025-10-21 14:18:00,LC2601,75940.0,LC2601,GFEX,75980.0,75920.0,75960.0,lc2601,20251021,LC,304.0
LC2601,43,2025-10-21 14:17:00,LC2601,75940.0,LC2601,GFEX,75960.0,75940.0,75940.0,lc2601,20251021,LC,182.0
LC2601,44,2025-10-21 14:16:00,LC2601,75940.0,LC2601,GFEX,76000.0,75940.0,75960.0,lc2601,20251021,LC,542.0
LC2601,45,2025-10-21 14:15:00,LC2601,75980.0,LC2601,GFEX,75980.0,75920.0,75940.0,lc2601,20251021,LC,205.0
LC2601,46,2025-10-21 14:14:00,LC2601,75940.0,LC2601,GFEX,75960.0,75920.0,75960.0,lc2601,20251021,LC,310.0
